Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Date_Outbreak_Began,Date_Declared_Over,Duration
"Kennedy Lodge - 2 & 3 South, Main North & 2 North",1400 Kennedy Rd,LTCH,Respiratory,COVID-19,None,2024-06-25,2024-07-18,N,2024-06-25,2024-07-18,23
Leaside Retirement - 3rd Fl Building 10,10 William Morgan Dr,Retirement Home,Enteric,Norovirus,None,2024-06-25,2024-07-07,N,2024-06-25,2024-07-07,12
Mindland Gardens Care Community - 6th Fl,130 Midland Ave,LTCH,Respiratory,COVID-19,None,2024-06-25,2024-07-04,N,2024-06-25,2024-07-04,9
Baycrest Hospital - H3W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-06-24,2024-07-06,N,2024-06-24,2024-07-06,12
Better Living at Thomspson House - 3rd Fl,1 Overland Dr,LTCH,Respiratory,Metapneumovirus,None,2024-06-24,2024-07-06,N,2024-06-24,2024-07-06,12
Terraces of Baycrest Retirement Residences - 8th Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,None,2024-06-24,2024-07-02,N,2024-06-24,2024-07-02,8
Runnymede Healthcare Centre - 3 East,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-06-23,2024-07-07,N,2024-06-23,2024-07-07,14
Terraces of Baycrest Retirement Residence - 9th Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,None,2024-06-23,2024-07-01,N,2024-06-23,2024-07-01,8
Weston Terrace Care Community - 2nd Fl,2005 Lawrence Ave,LTCH,Respiratory,Rhinovirus,Enterovirus,2024-06-22,2024-07-01,N,2024-06-22,2024-07-01,9
Baycrest Hospital - 7 East,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-06-21,2024-07-06,N,2024-06-21,2024-07-06,15
Baycrest Hospital - H4W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-06-21,2024-06-29,N,2024-06-21,2024-06-29,8
North York General Hospital - Seniors' Health Centre - 1st Fl,2 Buchan Crt,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-06-21,2024-07-01,N,2024-06-21,2024-07-01,10
Bendale Acres - 3rd Fl,2920 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,None,2024-06-20,2024-06-26,N,2024-06-20,2024-06-26,6
"Nisbet Lodge - 6th,7th & 8th Fl (Team 2)",740 Pape Ave,LTCH,Respiratory,COVID-19,None,2024-06-20,2024-06-27,N,2024-06-20,2024-06-27,7
Shepherd Lodge - 3rd Fl South,3760 Sheppard Ave E,LTCH,Respiratory,COVID-19,None,2024-06-19,2024-06-24,N,2024-06-19,2024-06-24,5
Humber River Hospital - RCC Church Site - A2N,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-06-18,2024-07-04,N,2024-06-18,2024-07-04,16
Leaside Retirement Residence - 6th Fl Building 14,10 William Morgan Dr,Retirement Home,Respiratory,COVID-19,None,2024-06-18,2024-06-25,N,2024-06-18,2024-06-25,7
Cheltenham Care Community - 1st & 2nd Fl,5935 Bathurst St,LTCH,Respiratory,Parainfluenza,None,2024-06-17,2024-07-14,N,2024-06-17,2024-07-14,27
Mon Sheong Scarborough Long Term Care - 3rd Fl,2030 McNicoll Ave,LTCH,Respiratory,Parainfluenza,None,2024-06-17,2024-06-26,N,2024-06-17,2024-06-26,9
Presentation Manor - 4th Fl,61 Fairfox Cres,Retirement Home,Respiratory,COVID-19,None,2024-06-17,2024-06-26,N,2024-06-17,2024-06-26,9
Southlake Regional Health Centre - RCC Finch Site - 6 West,2111 Finch Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-06-17,2024-06-28,N,2024-06-17,2024-06-28,11
UHN - Toronto Western Hospital - 4B,399 Bathurst St,Hospital-Acute Care,Enteric,Clostridium difficile,None,2024-06-17,2024-07-12,N,2024-06-17,2024-07-12,25
Yee Hong Centre - Scarborough - 1st & 3rd Fl,2311 McNicoll Ave,LTCH,Respiratory,Parainfluenza,None,2024-06-17,2024-07-12,N,2024-06-17,2024-07-12,25
Runnymede Healthcare Centre - 3W,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-06-15,2024-06-28,N,2024-06-15,2024-06-28,13
Bendale Acres - 1st & 3rd Fl,2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2024-06-13,2024-06-25,N,2024-06-13,2024-06-25,12
Reactivation Care Centre - Finch Site - Southlake Hospital - 5 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-06-13,2024-06-21,N,2024-06-13,2024-06-21,8
Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Parainfluenza,None,2024-06-13,2024-06-22,N,2024-06-13,2024-06-22,9
Belmont House - 5th Fl,55 Belmont St,Retirement Home,Respiratory,COVID-19,None,2024-06-12,2024-06-19,N,2024-06-12,2024-06-19,7
Bill McMurray Residence,180 Sheridan Ave,Retirement Home,Respiratory,COVID-19,None,2024-06-11,2024-06-20,N,2024-06-11,2024-06-20,9
Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,COVID-19,None,2024-06-11,2024-07-02,N,2024-06-11,2024-07-02,21
Fudger House - 2 West & 3 West,439 Sherbourne St,LTCH,Respiratory,COVID-19,None,2024-06-11,2024-07-02,N,2024-06-11,2024-07-02,21
Dom Lipa - Wing 2,52 Neilson Dr,LTCH,Respiratory,COVID-19,None,2024-06-10,2024-06-18,N,2024-06-10,2024-06-18,8
Fieldstone Commons Care Community - 3A & 3B,1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,None,2024-06-10,2024-06-19,N,2024-06-10,2024-06-19,9
Hawthorne Place Care Centre - Maple Lane - 1st Fl,2045 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-06-09,2024-06-20,N,2024-06-09,2024-06-20,11
Carefree Lodge - 2nd Fl,306 Finch Ave E,LTCH,Respiratory,COVID-19,None,2024-06-08,2024-06-15,N,2024-06-08,2024-06-15,7
Kensington Gardens South - 1 West & 1 East,25 Brunswick Ave,LTCH,Enteric,Norovirus,None,2024-06-07,2024-06-21,N,2024-06-07,2024-06-21,14
Sunnybrook Health Sciences Centre - D6,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-06-07,2024-06-15,N,2024-06-07,2024-06-15,8
Centennial Park Place,25 Centennial Park Rd,Retirement Home,Respiratory,Unable to identify,None,2024-06-06,2024-06-15,N,2024-06-06,2024-06-15,9
"Tony Stacey Centre for Veterans Care - 1st Fl South, 2nd Fl South & 2nd Fl East",59 Lawson Rd,LTCH,Respiratory,Parainfluenza,None,2024-06-06,2024-06-21,N,2024-06-06,2024-06-21,15
Gibson Long-Term Care Residence - 1st Fl,1925 Steeles Ave E,LTCH,Respiratory,Parainfluenza,None,2024-06-05,2024-06-20,N,2024-06-05,2024-06-20,15
Kensington Gardens South - 1 East & 2 East,25 Brunswick Ave,LTCH,Respiratory,COVID-19,None,2024-06-05,2024-06-20,N,2024-06-05,2024-06-20,15
Centre for Addiction and Mental Health - Queen Site - PRT5,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,None,2024-06-04,2024-06-11,N,2024-06-04,2024-06-11,7
Fudger House - 1 East,439 Sherbourne St,LTCH,Respiratory,Coronavirus*,None,2024-06-04,2024-06-17,N,2024-06-04,2024-06-17,13
Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,None,2024-06-03,2024-06-17,N,2024-06-03,2024-06-17,14
Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Rhinovirus,None,2024-05-31,2024-06-21,N,2024-05-31,2024-06-21,21
Toronto East Health Network - Michael Garron Hospital - B3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-05-31,2024-06-07,N,2024-05-31,2024-06-07,7
The Village of Humber Heights,2245 Lawrence Ave West,Retirement Home,Respiratory,COVID-19,None,2024-05-30,2024-06-11,N,2024-05-30,2024-06-11,12
Harold and Grace Baker Centre LTCH - C Wing,1 Northwestern Ave,LTCH,Respiratory,COVID-19,None,2024-05-29,2024-06-14,N,2024-05-29,2024-06-14,16
Humber Meadows Long Term Care Home - Douglas South,2109 Finch Ave W,LTCH,Respiratory,Parainfluenza,None,2024-05-29,2024-06-07,N,2024-05-29,2024-06-07,9
University Health Network - Bickle Centre - South 5,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-05-29,2024-06-08,N,2024-05-29,2024-06-08,10
"Fountain View Care Community - 1A Terrace, 2A Breezeway & 2B Lakeside",1800 O'Connor Dr,LTCH,Respiratory,Parainfluenza,Coronavirus*,2024-05-28,2024-06-22,N,2024-05-28,2024-06-22,25
Hellenic Home for the Aged - 2nd Fl,2411 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2024-05-28,2024-06-18,N,2024-05-28,2024-06-18,21
Seven Oaks - 2nd Fl,9 Neilson Rd,LTCH,Respiratory,Rhinovirus,None,2024-05-27,2024-06-05,N,2024-05-27,2024-06-05,9
Shepherd Lodge - 2 South,3760 Sheppard Ave East,LTCH,Respiratory,Unable to identify,None,2024-05-27,2024-06-05,N,2024-05-27,2024-06-05,9
"Shepherd Lodge - 6 South, 6 North & 2 South",3760 Sheppard Ave East,LTCH,Respiratory,COVID-19,None,2024-05-27,2024-06-09,N,2024-05-27,2024-06-09,13
Toronto East Health Network - AHF - Atrium at Kew Beach RR - 1st Fl,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-05-27,2024-06-04,N,2024-05-27,2024-06-04,8
Downsview Long Term Care Centre - 1 East,3595 Keele St,LTCH,Respiratory,Coronavirus*,None,2024-05-26,2024-06-02,N,2024-05-26,2024-06-02,7
Kennedy Lodge - Ground Fl,1400 Kennedy Rd,LTCH,Respiratory,COVID-19,None,2024-05-26,2024-05-31,N,2024-05-26,2024-05-31,5
Kipling Acres - Thistletown Unit,2233 Kipling Ave,LTCH,Respiratory,COVID-19,None,2024-05-25,2024-06-05,N,2024-05-25,2024-06-05,11
The Kensington Gardens (North) - 1 East,45 Brunswick Ave,LTCH,Respiratory,COVID-19,None,2024-05-25,2024-06-03,N,2024-05-25,2024-06-03,9
Wesburn Manor - 2 & 3 South,400 The West Mall,LTCH,Respiratory,COVID-19,None,2024-05-25,2024-06-11,N,2024-05-25,2024-06-11,17
Trillium Health Partners - McCall Continuing Care - 2nd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-05-24,2024-06-03,N,2024-05-24,2024-06-03,10
Chartwell Westbury Long Term Care Residence - 4th Fl,495 The West Mall,LTCH,Respiratory,COVID-19,None,2024-05-23,2024-06-03,N,2024-05-23,2024-06-03,11
Toronto East Health Network - AHF - Atrium at Kew Beach RR - 3W,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-05-23,2024-05-31,N,2024-05-23,2024-05-31,8
Chartwell Lansing Retirement Residence - 1st Fl,10 Senlac Rd,Retirement Home,Respiratory,COVID-19,None,2024-05-22,2024-05-30,N,2024-05-22,2024-05-30,8
Norfinch Care Community - North York - 2A,22 Norfinch Dr,LTCH,Respiratory,COVID-19,None,2024-05-22,2024-05-30,N,2024-05-22,2024-05-30,8
University Health Network - Toronto General - 6ES,200 Elizabeth St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-05-22,2024-05-31,N,2024-05-22,2024-05-31,9
Cheltenham Care Community - 2nd & 3rd Fl,5935 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-05-21,2024-06-08,N,2024-05-21,2024-06-08,18
Delmanor Wynford - 4th & 6th Fl,187 Wynford Dr,Retirement Home,Respiratory,COVID-19,None,2024-05-21,2024-05-30,N,2024-05-21,2024-05-30,9
Dom Lipa - 2nd Fl,52 Neilson Dr,Retirement Home,Respiratory,COVID-19,None,2024-05-21,2024-05-31,N,2024-05-21,2024-05-31,10
Labdara Lithuanian Nursing Home - 2nd Fl,5 Resurrection Rd,LTCH,Respiratory,COVID-19,None,2024-05-21,2024-05-27,N,2024-05-21,2024-05-27,6
Lakeside Long Term Care Centre,150 Dunn Ave,LTCH,Respiratory,Parainfluenza,Rhinovirus,2024-05-21,2024-06-06,N,2024-05-21,2024-06-06,16
Terraces of Baycrest - T4,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,None,2024-05-21,2024-05-29,N,2024-05-21,2024-05-29,8
Chartwell White Eagle Long Term Care Residence - 2nd Fl,138 Dowling Ave,LTCH,Respiratory,COVID-19,None,2024-05-20,2024-06-05,N,2024-05-20,2024-06-05,16
Fairview Nursing Home - 1st Fl,14 Cross St,LTCH,Respiratory,COVID-19,None,2024-05-20,2024-05-28,N,2024-05-20,2024-05-28,8
Sunnybrook Health Sciences Centre - RCC - A3S,200 Church St,Hospital-Chronic Care,Respiratory,Rhinovirus,None,2024-05-20,2024-05-28,N,2024-05-20,2024-05-28,8
The Kensington Gardens - 3 East Unit,25 Brunswick Ave,LTCH,Respiratory,COVID-19,None,2024-05-18,2024-05-24,N,2024-05-18,2024-05-24,6
Delmanor Northtown,5351 Yonge St,Retirement Home,Respiratory,COVID-19,None,2024-05-17,2024-05-29,N,2024-05-17,2024-05-29,12
Humber Meadows LTCH - Aster North,2109 Finch Ave W,LTCH,Respiratory,Parainfluenza,None,2024-05-17,2024-05-27,N,2024-05-17,2024-05-27,10
"Scarborough Retirement Residence - 2nd, 4th, 5th & 7th Fl",148 Markham Rd,Retirement Home,Respiratory,COVID-19,None,2024-05-17,2024-06-03,N,2024-05-17,2024-06-03,17
Toronto East Health Network - Michael Garron Hospital - A3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-05-17,2024-05-24,N,2024-05-17,2024-05-24,7
Cummer Lodge - 2S,205 Cummer Ave,LTCH,Respiratory,COVID-19,None,2024-05-16,2024-05-24,N,2024-05-16,2024-05-24,8
Midland Gardens Care Community - 4th Fl,130 Midland Ave,LTCH,Respiratory,Parainfluenza,None,2024-05-15,2024-05-30,N,2024-05-15,2024-05-30,15
Mon Sheong Home for the Aged - 5th Fl,36 D'Arcy St,LTCH,Respiratory,COVID-19,None,2024-05-15,2024-05-25,N,2024-05-15,2024-05-25,10
Scarborough Health Network - Scarborough General - T7,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,None,2024-05-15,2024-05-31,N,2024-05-15,2024-05-31,16
"Villa Colombo Homes for the Aged - 2 Fidani, 2 Fusco West, 2 Fusco North, 2 Fusco South, 3 Fusco West, 5 Fusco South, 5 Fusco North & 5 Fusco West",40 Playfair Ave,LTCH,Respiratory,COVID-19,None,2024-05-15,2024-06-07,N,2024-05-15,2024-06-07,23
West Park Long Term Care Centre - Hughes/Prittie,82 Buttonwood Ave,LTCH,Respiratory,COVID-19,None,2024-05-15,2024-05-25,N,2024-05-15,2024-05-25,10
Weston Terrace Care Community - 4A,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,None,2024-05-15,2024-05-27,N,2024-05-15,2024-05-27,12
William Osler Health System - Etobicoke - 10E Medicine Unit,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,None,2024-05-15,2024-05-24,N,2024-05-15,2024-05-24,9
Age Care Westbury - 3rd & 6th Fl,495 The West Mall,LTCH,Respiratory,Coronavirus*,None,2024-05-14,2024-05-31,N,2024-05-14,2024-05-31,17
Copernicus Lodge - 6 South,66 Roncesvalles Ave,LTCH,Respiratory,COVID-19,None,2024-05-14,2024-05-21,N,2024-05-14,2024-05-21,7
Dom Lipa - K Wing,52 Neilson Drive,LTCH,Respiratory,COVID-19,None,2024-05-14,2024-05-27,N,2024-05-14,2024-05-27,13
North York General Hospital - 5W,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-05-14,2024-05-23,N,2024-05-14,2024-05-23,9
Sherbourne Place - 4th Fl,345 Sherbourne St,LTCH,Respiratory,COVID-19,None,2024-05-14,2024-05-23,N,2024-05-14,2024-05-23,9
Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LTSE,2075 Bayview Ave,LTCH,Respiratory,COVID-19,None,2024-05-14,2024-05-23,N,2024-05-14,2024-05-23,9
Cedarbrook Lodge Retirement Residence - 3rd & 4th Fl,520 Markham Rd,Retirement Home,Respiratory,Enterovirus/ Rhinovirus,None,2024-05-13,2024-05-23,N,2024-05-13,2024-05-23,10
Chartwell Gibson Long Term Care Residence - 4th Fl,1925 Steeles Ave E,LTCH,Respiratory,COVID-19,None,2024-05-13,2024-05-27,N,2024-05-13,2024-05-27,14
RCC Finch Site - Mackenzie Health - 4 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Coronavirus*,None,2024-05-13,2024-05-20,N,2024-05-13,2024-05-20,7
Runnymede Healthcare Centre - 3E,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Parainfluenza,None,2024-05-13,2024-05-20,N,2024-05-13,2024-05-20,7
The Heritage Nursing Home - 2nd & 4th Fl,1195 Queen St E,LTCH,Respiratory,COVID-19,None,2024-05-13,2024-06-06,N,2024-05-13,2024-06-06,24
Fieldstone Commons Care Community - 4A,1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,None,2024-05-12,2024-05-27,N,2024-05-12,2024-05-27,15
Sunnybrook Health Sciences Centre - Bayview Campus - C2,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-05-12,2024-05-20,N,2024-05-12,2024-05-20,8
Valleyview Residence - 2E,541 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-05-12,2024-05-27,N,2024-05-12,2024-05-27,15
Harmony Hills Care Community - Unit 3B,1800 O'Connor Dr,LTCH,Respiratory,Parainfluenza,None,2024-05-11,2024-05-23,N,2024-05-11,2024-05-23,12
Age Care Trilogy - 1st Fl Oakview,340 McCowan Rd,LTCH,Respiratory,Metapneumovirus,None,2024-05-09,2024-05-18,N,2024-05-09,2024-05-18,9
Copernicus Lodge - 2 North,66 Roncesvalles Ave,LTCH,Respiratory,Coronavirus*,None,2024-05-09,2024-05-17,N,2024-05-09,2024-05-17,8
Gibson Long-Term Care Residence - 2nd & 4th Fl,1925 Steeles Ave,LTCH,Respiratory,Parainfluenza,Coronavirus*,2024-05-09,2024-06-03,N,2024-05-09,2024-06-03,25
Trillium Health Partners - Queensway - Orthopedic Unit,150 Sherway Drive,Hospital-Acute Care,Respiratory,COVID-19,None,2024-05-09,2024-05-13,N,2024-05-09,2024-05-13,4
Fairview Nursing Home - 2nd & 3rd Fl,14 Cross St,LTCH,Respiratory,Metapneumovirus,Rhinovirus,2024-05-08,2024-05-16,N,2024-05-08,2024-05-16,8
University Health Network - Toronto General - 7MA,200 Elizabeth St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-05-08,2024-05-14,N,2024-05-08,2024-05-14,6
Wesburn Manor - 4 North,400 The West Mall,LTCH,Respiratory,Unable to identify,None,2024-05-08,2024-05-19,N,2024-05-08,2024-05-19,11
Cedarbrook Lodge - Transitional Care Unit - 5th Fl Bayshore,520 Markham Rd,Transitional Care,Respiratory,COVID-19,None,2024-05-07,2024-05-21,N,2024-05-07,2024-05-21,14
Cedarbrook Lodge Retirement Residence - 4th Fl,520 Markham Rd,Retirement Home,Respiratory,COVID-19,None,2024-05-07,2024-05-22,N,2024-05-07,2024-05-22,15
Kipling Acres - 3 North East Smithfield,2233 Kipling Ave,LTCH,Respiratory,COVID-19,None,2024-05-07,2024-05-10,N,2024-05-07,2024-05-10,3
Bendale Acres - 2 West,2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2024-05-06,2024-05-13,N,2024-05-06,2024-05-13,7
McNicoll Manor/Moll Berczy Haus,1020 McNicoll Ave,Retirement Home,Respiratory,COVID-19,None,2024-05-06,2024-05-22,N,2024-05-06,2024-05-22,16
"New Horizons Tower - 6th, 9th, 14th, 15th & 16th Fl",1140 Bloor St W,Retirement Home,Respiratory,COVID-19,None,2024-05-06,2024-05-21,N,2024-05-06,2024-05-21,15
Sinai Health System - Hennick Bridgepoint - 3N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-05-06,2024-05-13,N,2024-05-06,2024-05-13,7
The Claremont - 3rd Fl,305 Balliol St,Retirement Home,Respiratory,COVID-19,None,2024-05-06,2024-05-13,N,2024-05-06,2024-05-13,7
"Copernicus Lodge - 2 North, 2 South & 3 South",66 Roncesvalles Ave,LTCH,Enteric,Norovirus,None,2024-05-05,2024-05-27,N,2024-05-05,2024-05-27,22
Cummer Lodge - Unit 4S,205 Cummer Ave,LTCH,Respiratory,Influenza A (Not subtyped),"Coronavirus*, Enterovirus/ Rhinovirus",2024-05-03,2024-05-14,N,2024-05-03,2024-05-14,11
Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,COVID-19,None,2024-05-03,2024-05-15,N,2024-05-03,2024-05-15,12
The Village of Humber Heights - 1st Fl (Lambton) & East Wing,2245 Lawrence Ave W,LTCH,Respiratory,COVID-19,None,2024-05-03,2024-06-09,N,2024-05-03,2024-06-09,37
Hawthorne Place Care Centre - Honeysuckle Unit & 1st Fl Convalescent,2045 Finch Ave W,LTCH,Respiratory,Parainfluenza,None,2024-05-02,2024-05-26,N,2024-05-02,2024-05-26,24
Ina Grafton Gage Home - Unit 4,40 Bell Estate Rd,LTCH,Respiratory,Parainfluenza,None,2024-05-02,2024-05-17,N,2024-05-02,2024-05-17,15
Queens Estate Retirement Residence - 3rd & 4th Fl,265 Queens Dr,Retirement Home,Respiratory,Parainfluenza,None,2024-05-02,2024-05-14,N,2024-05-02,2024-05-14,12
Unity Health Toronto - Providence - A5,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-05-02,2024-05-10,N,2024-05-02,2024-05-10,8
Hellenic Care for Seniors,215 Tyrrel Ave,LTCH,Respiratory,Rhinovirus,Coronavirus*,2024-05-01,2024-05-14,N,2024-05-01,2024-05-14,13
Hellenic Home for The Aged - 3B,2411 Lawrence Ave E,LTCH,Enteric,Unable to identify,None,2024-05-01,2024-05-08,N,2024-05-01,2024-05-08,7
Elm Grove Living Centre - 2nd Fl (East),35 Elm Grove Ave,LTCH,Respiratory,COVID-19,None,2024-04-30,2024-05-17,N,2024-04-30,2024-05-17,17
Isabel and Arthur Meighen Manor - Fisher Unit,155 Millwood Rd,LTCH,Respiratory,Coronavirus*,None,2024-04-30,2024-05-09,N,2024-04-30,2024-05-09,9
Trillium Health Partners - McCall Centre for Continuing Care - 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),None,2024-04-30,2024-05-09,N,2024-04-30,2024-05-09,9
Carefree Lodge - 1st Fl,306 Finch Ave E,LTCH,Respiratory,COVID-19,None,2024-04-29,2024-05-07,N,2024-04-29,2024-05-07,8
Centre For Addiction And Mental Health - GAU A,1001 Queen St W,Hospital-Psychiatric,Respiratory,Respiratory syncytial virus,None,2024-04-29,2024-05-07,N,2024-04-29,2024-05-07,8
Kipling Acres - 3 South East & 3 North East,2233 Kipling Ave,LTCH,Respiratory,Coronavirus*,Metapneumovirus,2024-04-29,2024-05-12,N,2024-04-29,2024-05-12,13
Labdara Lithuanian Nursing Home - 3rd Fl,5 Resurection Rd,LTCH,Respiratory,Coronavirus*,Parainfluenza PIV I,2024-04-29,2024-05-21,N,2024-04-29,2024-05-21,22
Tendercare Living Centre - 2E & 2W,1020 Mcnicoll Ave,LTCH,Respiratory,COVID-19,None,2024-04-29,2024-05-15,N,2024-04-29,2024-05-15,16
"The Heritage Nursing Home - 1st, 3rd & 4th Fl",1195 Queen St E,LTCH,Respiratory,Coronavirus*,Rhinovirus,2024-04-29,2024-05-23,N,2024-04-29,2024-05-23,24
Tony Stacey Centre for Veterans Care,59 Lawson Rd,LTCH,Respiratory,Coronavirus*,Parainfluenza,2024-04-29,2024-05-15,N,2024-04-29,2024-05-15,16
Trillium Health Partners - McCall Continuing Care - 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-04-27,2024-05-09,N,2024-04-27,2024-05-09,12
University Health Network - Princess Margaret - 15A,610 University Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-04-27,2024-05-05,N,2024-04-27,2024-05-05,8
Baycrest Apotex Centre - Jewish Home for the Aged - 7GS,3560 Bathurst St,LTCH,Respiratory,Metapneumovirus,None,2024-04-26,2024-05-05,N,2024-04-26,2024-05-05,9
St George Care Community - 3rd Fl,225 St. George St,LTCH,Respiratory,Coronavirus*,None,2024-04-26,2024-05-06,N,2024-04-26,2024-05-06,10
Chester Village LTC - 2E,3555 Danforth Ave,LTCH,Respiratory,COVID-19,None,2024-04-25,2024-05-13,N,2024-04-25,2024-05-13,18
Runnymede Healthcare Centre - 4E,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Metapneumovirus,Parainfluenza,2024-04-25,2024-05-16,N,2024-04-25,2024-05-16,21
Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2024-04-25,2024-05-01,N,2024-04-25,2024-05-01,6
Age Care Trilogy Long Term Care - 6th Fl,340 McCowan Rd,LTCH,Respiratory,COVID-19,None,2024-04-23,2024-04-30,N,2024-04-23,2024-04-30,7
Norfinch Care Community - 2A,22 Norfinch Dr,LTCH,Respiratory,Metapneumovirus,None,2024-04-23,2024-05-05,N,2024-04-23,2024-05-05,12
The Kensington Gardens (South Building) - S2E,25 Brunswick Ave,LTCH,Respiratory,Parainfluenza,Metapneumovirus,2024-04-23,2024-05-09,N,2024-04-23,2024-05-09,16
Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Metapneumovirus,Parainfluenza,2024-04-22,2024-05-02,N,2024-04-22,2024-05-02,10
Midland Gardens Care Community - 3rd & 6th Fl,130 Midland Ave,LTCH,Enteric,Norovirus,None,2024-04-22,2024-05-06,N,2024-04-22,2024-05-06,14
Trillium Health Partners - McCall Centre For Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),None,2024-04-22,2024-05-04,N,2024-04-22,2024-05-04,12
University Health Network - Toronto Western - 8A,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-04-22,2024-05-07,N,2024-04-22,2024-05-07,15
Yee Hong Centre - 2 North & 2 South,60 Scoffield Dr,LTCH,Respiratory,Rhinovirus,Enterovirus,2024-04-21,2024-05-09,N,2024-04-21,2024-05-09,18
Centre For Addiction and Mental Health - 3rd Fl (Unit 3-3),1001 Queen St West,Hospital-Psychiatric,Respiratory,COVID-19,None,2024-04-20,2024-05-06,N,2024-04-20,2024-05-06,16
Meighen Retirement Residence - 3rd Fl,84 Davisville Ave,Retirement Home,Respiratory,Metapneumovirus,None,2024-04-19,2024-04-29,N,2024-04-19,2024-04-29,10
Nisbet Lodge - Toronto - 4th Fl,740 Pape Ave,LTCH,Respiratory,COVID-19,None,2024-04-19,2024-04-26,N,2024-04-19,2024-04-26,7
Retirement Suites by the Lake,2121 Kingston Rd,Retirement Home,Respiratory,Coronavirus*,None,2024-04-19,2024-05-06,N,2024-04-19,2024-05-06,17
Kensington Gardens (North Building) - 2 West,45 Brunswick Ave,LTCH,Respiratory,Parainfluenza,None,2024-04-18,2024-04-23,N,2024-04-18,2024-04-23,5
Midland Gardens Care Community - 5th Fl,130 Midland Ave,LTCH,Respiratory,Unable to identify,None,2024-04-18,2024-04-27,N,2024-04-18,2024-04-27,9
